full_name,diameter,profit,price,dv,class,spec
1860 Barbarossa (1973 SK),16.8,5.09772E+13,6.22029E+14,9.478518,MBA,X
815 Coppelia (1916 YU),16.869,4.5387E+13,6.29725E+14,10.733847,MBA,Xe
1989 Tatry (1955 FG),9.399,5.31047E+13,6.46558E+14,9.47262,MBA,C
2861 Lambrecht (1981 VL2),16.576,5.35879E+13,6.57096E+14,9.526612,MBA,Xc
6500 Kodaira (1993 ET),9.487,4.38593E+13,6.63039E+14,11.708985,MCA,B
4461 Sayama (1990 EL),17.233,4.6953E+13,6.71375E+14,11.044357,MBA,X
2065 Spicer (1959 RN),16.721,5.64822E+13,6.74491E+14,9.277546,MBA,Xc
4082 Swann (1984 SW3),9.535,6.02912E+13,6.75032E+14,8.761012,MBA,Ch
2772 Dugan (1979 XE),9.595,6.01879E+13,6.85942E+14,8.907977,MBA,B
1014 Semphyra (1924 PW),17.487,5.73432E+13,7.01501E+14,9.483863,MBA,Xe
3686 Antoku (1987 EB),17.744,5.80987E+13,7.32887E+14,9.771197,MBA,X
2306 Bauschinger (1939 PM),17.764,5.65251E+13,7.35368E+14,10.067839,MBA,X
3000 Leonardo (1981 EG19),9.838,6.67842E+13,7.39389E+14,8.671936,MBA,B
4997 Ksana (1986 TM),9.86,4.37632E+13,7.4436E+14,13.147673,MBA,B
3074 Popov (1979 YE9),9.875,6.49598E+13,7.47763E+14,8.985529,MBA,B
1094 Siberia (1926 CB),17.869,5.65262E+13,7.48485E+14,10.261839,MBA,Xk
6233 Kimura (1986 CG),9.886,5.96729E+13,7.52357E+14,9.763783,MBA,Ch
1847 Stobbe (A916 CA),17.427,5.58236E+13,7.63585E+14,10.587347,MBA,Xc
5553 Chodas (1984 CM1),9.984,6.17377E+13,7.74954E+14,9.72805,MBA,Ch
10473 Thirouin (1981 EL21),7.984,6.11416E+13,7.77158E+14,9.843786,MBA,K
941 Murray (1920 HV),18.217,6.37377E+13,7.93073E+14,9.641494,MBA,X
2560 Siegma (1932 CW),17.976,6.28137E+13,8.38048E+14,10.318338,MBA,Xc
4719 Burnaby (1990 WT2),10.298,6.8183E+13,8.50395E+14,9.668615,MBA,C
2346 Lilio (1934 CB),10.42,7.65275E+13,8.80979E+14,8.984764,MBA,C
5329 Decaro (1989 YP),10.516,7.35147E+13,9.04293E+14,9.553167,MBA,Cb
3214 Makarenko (1978 TZ6),18.442,6.31097E+13,9.04927E+14,11.060076,MBA,Xc
1638 Ruanda (1935 JF),19.094,7.51653E+13,9.13216E+14,9.424831,MBA,X
3670 Northcott (1983 BN),19.166,6.85282E+13,9.23585E+14,10.422183,MBA,X
1386 Storeria (1935 PA),10.614,8.30566E+13,9.31107E+14,8.774693,MBA,Ch
2349 Kurchenko (1970 OG),18.801,6.61831E+13,9.5881E+14,11.195734,MBA,Xc
1373 Cincinnati (1935 QN),19.448,4.88952E+13,9.64956E+14,15.198236,OMB,Xk
7404 (1988 AA5),10.747,8.15692E+13,9.65204E+14,9.194039,MBA,Cb
5344 Ryabov (1978 RN),10.835,7.90207E+13,9.87732E+14,9.688684,MBA,B
4390 Madreteresa (1976 GO8),10.835,8.58166E+13,9.90488E+14,9.007753,MBA,Cgh
3985 Raybatson (1985 CX),19.631,6.80778E+13,9.92453E+14,11.257668,MBA,X
4342 Freud (1987 QO9),19.18,7.79932E+13,1.01797E+15,10.097862,MBA,Xc
4284 Kaho (1988 FL3),10.938,8.92452E+13,1.019E+15,8.920063,MBA,Ch
6283 (1980 VX1),10.995,8.32569E+13,1.03502E+15,9.633512,MBA,Ch
1352 Wawel (1935 CE),19.979,7.99593E+13,1.04617E+15,10.120498,MBA,X
4036 Whitehouse (1987 DW5),11.036,8.27564E+13,1.04664E+15,9.79158,MBA,Cg
3627 Sayers (1973 DS),11.062,8.81494E+13,1.05112E+15,9.288412,MBA,B
4944 Kozlovskij (1987 RP3),11.125,8.19461E+13,1.07067E+15,10.109272,MBA,Cb
3628 Boznemcova (1979 WD),6.914,9.78774E+13,1.08161E+15,8.649625,MBA,O
2354 Lavrov (1978 PZ3),13.341,8.5507E+13,1.08786E+15,9.851769,MBA,L
8450 Egorov (1977 QL1),11.191,8.42793E+13,1.09136E+15,10.021225,MBA,C
2085 Henan (1965 YA),13.356,8.54451E+13,1.09153E+15,9.893196,MBA,L
6906 Johnmills (1990 WC),11.211,9.01255E+13,1.09722E+15,9.449435,MBA,C
1407 Lindelof (1936 WC),20.31,9.39461E+13,1.09904E+15,9.097969,MBA,X
5492 Thoma (3227 T-1),13.398,7.63585E+13,1.10186E+15,11.151095,MBA,L
1181 Lilith (1927 CQ),20.492,9.35916E+13,1.12885E+15,9.366496,MBA,X
1420 Radcliffe (1931 RJ),20.524,8.76159E+13,1.13415E+15,10.017344,MBA,X
3256 Daguerre (1981 SJ1),20.551,8.63697E+13,1.13863E+15,10.196639,MBA,X
2559 Svoboda (1981 UH),20.884,9.22628E+13,1.19488E+15,10.021706,MBA,Xk
2996 Bowman (1954 RJ),20.381,9.18814E+13,1.22142E+15,10.27893,MBA,Xc
3710 Bogoslovskij (1978 RD6),11.625,9.07426E+13,1.22332E+15,10.429008,MBA,Cgh
3827 Zdenekhorsky (1986 VU),11.798,1.01274E+14,1.27876E+15,9.779704,MBA,C
687 Tinette (1909 HG),21.533,1.02345E+14,1.30977E+15,9.918069,MBA,X
2809 Vernadskij (1978 QW2),12.014,1.18923E+14,1.34653E+15,8.844682,MBA,B
2879 Shimizu (1932 CB1),21.762,1.02302E+14,1.35201E+15,10.223622,MBA,X
2973 Paola (1951 AJ),12.079,1.17793E+14,1.3685E+15,9.053781,MBA,B
3123 Dunham (1981 QF2),12.07,1.16707E+14,1.36925E+15,9.137248,MBA,C
6907 Harryford (1990 WE),12.137,1.10812E+14,1.39218E+15,9.735438,MBA,C
1705 Tapio (1941 SL1),12.252,1.32689E+14,1.42815E+15,8.463525,MBA,B
7817 Zibiturtle (1988 RH10),12.246,1.08872E+14,1.43003E+15,10.158486,MBA,C
5364 (1980 RC1),12.248,1.26609E+14,1.43073E+15,8.827302,MBA,C
5956 d'Alembert (1988 CF5),12.277,1.22316E+14,1.44092E+15,9.161923,MBA,C
1327 Namaqua (1934 RT),22.318,1.15531E+14,1.45831E+15,9.774776,MBA,X
3684 Berry (1983 AK),12.37,1.30101E+14,1.47391E+15,8.859584,MBA,C
789 Lena (1914 UU),22.483,1.14816E+14,1.49089E+15,10.055435,MBA,X
3262 Miune (1983 WB),22.627,1.0823E+14,1.51972E+15,10.832865,MBA,X
2778 Tangshan (1979 XP),12.545,1.35259E+14,1.53522E+15,8.874416,MBA,Cb
1541 Estonia (1939 CK),22,1.17261E+14,1.53623E+15,10.134328,MBA,Xc
2390 Nezarka (1980 PA1),22.81,1.217E+14,1.55689E+15,9.915196,MBA,X
8008 (1988 TQ4),12.656,1.22057E+14,1.57853E+15,10.00589,MBA,C
2316 Jo-Ann (1980 RH),12.665,1.3784E+14,1.5819E+15,8.952947,MBA,C
7081 Ludibunda (1987 QF7),10.145,1.32231E+14,1.59442E+15,9.360095,MBA,K
1740 Paavo Nurmi (1939 UA),12.762,1.42588E+14,1.61852E+15,8.862606,MBA,C
6704 (1988 CJ),10.212,1.23498E+14,1.62622E+15,10.185365,MBA,K
6230 Fram (1984 SG1),12.834,1.27044E+14,1.64607E+15,10.024325,MBA,C
1104 Syringa (1928 XA),23.244,1.51327E+14,1.64746E+15,8.532532,MBA,Xk
4107 Rufino (1989 GT),12.854,1.23085E+14,1.65378E+15,10.412845,MBA,C
2852 Declercq (1981 QU2),12.871,1.28501E+14,1.66035E+15,9.996835,MBA,Ch
2328 Robeson (1972 HW),12.895,1.39686E+14,1.66965E+15,9.310085,MBA,C
2446 Lunacharsky (1971 TS2),12.954,1.50048E+14,1.68797E+15,8.797416,MBA,B
3844 Lujiaxi (1966 BZ),15.538,1.34822E+14,1.71867E+15,9.870688,MBA,L
7402 (1987 YH),13.164,1.41772E+14,1.77634E+15,9.707204,MBA,Ch
4424 Arkhipova (1967 DB),24.019,1.27815E+14,1.81781E+15,10.991795,MBA,Xk
1715 Salli (1938 GK),24.165,1.59191E+14,1.85116E+15,9.071064,MBA,X
5576 Albanese (1986 UM1),24.332,1.4412E+14,1.8898E+15,10.143944,MBA,Xk
1923 Osiris (4011 P-L),13.461,1.54894E+14,1.8993E+15,9.529713,MBA,C
7512 Monicalazzarin (1983 CA1),13.734,1.57824E+14,2.01722E+15,9.894155,MBA,Ch
3224 Irkutsk (1977 RL6),24.9,1.62325E+14,2.02526E+15,9.665564,MBA,X
2204 Lyyli (1943 EQ),25.16,1.66132E+14,2.08937E+15,9.773667,MCA,X
5333 Kanaya (1990 UH),13.918,1.75801E+14,2.09939E+15,9.302432,MBA,Ch
5243 Clasien (1246 T-2),13.947,1.67513E+14,2.11254E+15,9.767646,MBA,C
1196 Sheba (1931 KE),25.274,1.52788E+14,2.1179E+15,10.728407,MBA,X
715 Transvaalia (1911 LX),25.458,1.53917E+14,2.16449E+15,10.868593,MBA,X
3611 Dabu (1981 YY1),14.093,1.74543E+14,2.17958E+15,9.675726,MBA,Ch
5234 Sechenov (1989 VP),14.125,1.13951E+14,2.18836E+15,14.839177,MBA,B
1222 Tina (1932 LA),25.781,1.60122E+14,2.24793E+15,10.856813,MBA,X
4265 Kani (1989 TX),14.244,1.99572E+14,2.25039E+15,8.812136,MBA,C
3090 Tjossem (1982 AN),14.345,1.60581E+14,2.2986E+15,11.029702,MBA,Cg
7110 Johnpearse (1983 XH1),14.345,1.83783E+14,2.2986E+15,9.688978,MBA,Ch
7405 (1988 FF),14.36,1.79515E+14,2.30582E+15,9.943519,MBA,Ch
2370 van Altena (1965 LA),14.386,1.84871E+14,2.31514E+15,9.706106,MBA,Cb
2279 Barto (1968 DL),14.408,2.00767E+14,2.32902E+15,9.042135,MBA,C
4584 Akan (1990 FA),14.551,1.91235E+14,2.39906E+15,9.717455,MBA,C
3587 Descartes (1981 RK5),14.594,1.80953E+14,2.42039E+15,10.348125,MBA,C
1098 Hakone (1928 RJ),26.684,1.83612E+14,2.4925E+15,10.503132,MBA,Xe
3566 Levitan (1979 YA9),14.765,2.17935E+14,2.4995E+15,8.953601,MBA,B
3744 Horn-d'Arturo (1983 VE),14.758,2.22509E+14,2.50291E+15,8.782432,MBA,Ch
6410 Fujiwara (1992 WO4),14.822,2.0439E+14,2.53561E+15,9.616272,MBA,Ch
5330 Senrikyu (1990 BQ1),14.903,1.38453E+14,2.57024E+15,14.343468,MBA,B
3730 Hurban (1983 XM1),26.996,2.05318E+14,2.58096E+15,9.739898,MBA,Xk
6509 Giovannipratesi (1983 CQ3),15.004,2.16433E+14,2.63017E+15,9.426799,MBA,Ch
3885 Bogorodskij (1979 HG5),15.049,2.02754E+14,2.6539E+15,10.126603,MBA,Cg
6782 (1990 SU10),15.057,2.02307E+14,2.65444E+15,10.147488,MBA,Cb
1414 Jerome (1937 CE),15.105,2.08082E+14,2.68364E+15,9.981572,MBA,Ch
5348 Kennoguchi (1988 BB),15.17,2.14575E+14,2.71844E+15,9.809356,MBA,Ch
2864 Soderblom (1983 AZ),15.233,2.20883E+14,2.75244E+15,9.655735,MBA,Ch
4804 Pasteur (1989 XC1),15.427,2.20633E+14,2.85895E+15,10.03305,MBA,C
